,Team,GP,W,L,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Season,Date,Opponent
13,New York Islanders,1,1,0,0,2,1.000,1,1,0,5,4,5.00,4.00,66.7,0.0,66.7,0.0,32.0,44.0,40.9,2024,2024/04/17,Pittsburgh Penguins
14,Pittsburgh Penguins,1,0,1,0,0,.000,0,0,0,4,5,4.00,5.00,100.0,33.3,100.0,33.3,44.0,32.0,59.2,2024,2024/04/17,New York Islanders
15,Toronto Maple Leafs,1,0,1,0,0,.000,0,0,0,4,6,4.00,6.00,0.0,75.0,0.0,75.0,38.0,32.0,45.1,2024,2024/04/17,Tampa Bay Lightning
16,Tampa Bay Lightning,1,1,0,0,2,1.000,1,1,0,6,4,6.00,4.00,25.0,100.0,25.0,100.0,32.0,38.0,54.9,2024,2024/04/17,Toronto Maple Leafs
17,St. Louis Blues,1,0,0,1,1,.500,0,0,0,1,1,1.00,1.00,0.0,100.0,0.0,100.0,26.0,37.0,38.8,2024,2024/04/17,Dallas Stars
18,Edmonton Oilers,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,0.0,50.0,0.0,50.0,30.0,24.0,61.7,2024,2024/04/17,Arizona Coyotes
19,Dallas Stars,1,1,0,0,2,1.000,0,0,1,1,1,1.00,1.00,0.0,100.0,0.0,100.0,37.0,26.0,61.2,2024,2024/04/17,St. Louis Blues
20,Arizona Coyotes,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,50.0,100.0,50.0,100.0,24.0,30.0,38.3,2024,2024/04/17,Edmonton Oilers
21,Philadelphia Flyers,1,0,1,0,0,.000,0,0,0,1,2,1.00,2.00,0.0,--,0.0,--,28.0,18.0,48.3,2024,2024/04/16,Washington Capitals
22,Boston Bruins,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,50.0,100.0,0.0,100.0,35.0,20.0,65.1,2024,2024/04/16,Ottawa Senators
23,Montréal Canadiens,1,0,0,1,1,.500,0,0,0,4,4,4.00,4.00,0.0,--,0.0,--,33.0,40.0,54.9,2024,2024/04/16,Detroit Red Wings
24,Ottawa Senators,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,50.0,0.0,100.0,20.0,35.0,34.9,2024,2024/04/16,Boston Bruins
25,Toronto Maple Leafs,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,20.0,100.0,20.0,100.0,26.0,42.0,43.8,2024,2024/04/16,Florida Panthers
26,Carolina Hurricanes,1,0,1,0,0,.000,0,0,0,3,6,3.00,6.00,20.0,100.0,20.0,100.0,41.0,25.0,50.0,2024,2024/04/16,Columbus Blue Jackets
27,Florida Panthers,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,0.0,80.0,0.0,80.0,42.0,26.0,56.3,2024,2024/04/16,Toronto Maple Leafs
28,Washington Capitals,1,1,0,0,2,1.000,1,1,0,2,1,2.00,1.00,--,100.0,--,100.0,18.0,28.0,51.7,2024,2024/04/16,Philadelphia Flyers
29,Chicago Blackhawks,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,100.0,0.0,100.0,23.0,37.0,29.8,2024,2024/04/16,Vegas Golden Knights
30,Detroit Red Wings,1,1,0,0,2,1.000,0,0,1,4,4,4.00,4.00,--,100.0,--,100.0,40.0,33.0,45.1,2024,2024/04/16,Montreal Canadiens
31,Calgary Flames,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,0.0,100.0,-50.0,100.0,40.0,31.0,52.6,2024,2024/04/16,Vancouver Canucks
32,Vancouver Canucks,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,0.0,100.0,0.0,150.0,31.0,40.0,47.4,2024,2024/04/16,Calgary Flames
33,Columbus Blue Jackets,1,1,0,0,2,1.000,1,1,0,6,3,6.00,3.00,0.0,80.0,0.0,80.0,25.0,41.0,50.0,2024,2024/04/16,Carolina Hurricanes
34,Winnipeg Jets,1,1,0,0,2,1.000,1,1,0,4,3,4.00,3.00,25.0,100.0,25.0,100.0,24.0,23.0,60.0,2024,2024/04/16,Seattle Kraken
35,Vegas Golden Knights,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,100.0,0.0,100.0,37.0,23.0,70.2,2024,2024/04/16,Chicago Blackhawks
36,Seattle Kraken,1,0,1,0,0,.000,0,0,0,3,4,3.00,4.00,0.0,75.0,0.0,75.0,23.0,24.0,40.0,2024,2024/04/16,Winnipeg Jets
37,New Jersey Devils,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,0.0,0.0,0.0,0.0,24.0,19.0,52.0,2024,2024/04/15,New York Islanders
38,New York Islanders,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,100.0,100.0,100.0,100.0,19.0,24.0,48.0,2024,2024/04/15,New Jersey Devils
39,New York Rangers,1,1,0,0,2,1.000,1,1,0,4,0,4.00,0.00,0.0,100.0,0.0,150.0,34.0,25.0,46.9,2024,2024/04/15,Ottawa Senators
40,Pittsburgh Penguins,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,25.0,100.0,25.0,100.0,38.0,30.0,60.0,2024,2024/04/15,Nashville Predators
41,Boston Bruins,1,0,1,0,0,.000,0,0,0,0,2,0.00,2.00,--,100.0,--,100.0,16.0,25.0,55.6,2024,2024/04/15,Washington Capitals
42,Buffalo Sabres,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,0.0,100.0,0.0,150.0,34.0,33.0,45.9,2024,2024/04/15,Tampa Bay Lightning
43,Montréal Canadiens,1,0,0,1,1,.500,0,0,0,4,5,4.00,5.00,--,100.0,--,100.0,21.0,35.0,51.9,2024,2024/04/15,Detroit Red Wings
44,Ottawa Senators,1,0,1,0,0,.000,0,0,0,0,4,0.00,4.00,0.0,100.0,-50.0,100.0,25.0,34.0,53.1,2024,2024/04/15,New York Rangers
45,Tampa Bay Lightning,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,0.0,100.0,-50.0,100.0,33.0,34.0,54.1,2024,2024/04/15,Buffalo Sabres
46,Washington Capitals,1,1,0,0,2,1.000,1,1,0,2,0,2.00,0.00,0.0,--,0.0,--,25.0,16.0,44.4,2024,2024/04/15,Boston Bruins
47,Detroit Red Wings,1,1,0,0,2,1.000,0,1,0,5,4,5.00,4.00,0.0,--,0.0,--,35.0,21.0,48.1,2024,2024/04/15,Montreal Canadiens
48,Nashville Predators,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,0.0,75.0,0.0,75.0,30.0,38.0,40.0,2024,2024/04/15,Pittsburgh Penguins
49,Edmonton Oilers,1,1,0,0,2,1.000,1,1,0,9,2,9.00,2.00,--,100.0,--,100.0,38.0,21.0,58.5,2024,2024/04/15,San Jose Sharks
50,Los Angeles Kings,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,66.7,0.0,66.7,24.0,28.0,44.0,2024,2024/04/15,Minnesota Wild
51,San Jose Sharks,1,0,1,0,0,.000,0,0,0,2,9,2.00,9.00,0.0,--,0.0,--,21.0,38.0,41.5,2024,2024/04/15,Edmonton Oilers
52,Minnesota Wild,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,33.3,100.0,33.3,100.0,28.0,24.0,56.0,2024,2024/04/15,Los Angeles Kings
53,Carolina Hurricanes,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,66.7,100.0,66.7,100.0,34.0,16.0,43.4,2024,2024/04/14,Chicago Blackhawks
54,Chicago Blackhawks,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,0.0,33.3,0.0,33.3,16.0,34.0,56.6,2024,2024/04/14,Carolina Hurricanes
55,St. Louis Blues,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,0.0,100.0,0.0,100.0,28.0,20.0,58.0,2024,2024/04/14,Seattle Kraken
56,Calgary Flames,1,1,0,0,2,1.000,1,1,0,6,5,6.00,5.00,33.3,66.7,33.3,66.7,31.0,35.0,60.6,2024,2024/04/14,Arizona Coyotes
57,Colorado Avalanche,1,0,0,1,1,.500,0,0,0,3,4,3.00,4.00,0.0,33.3,0.0,33.3,24.0,30.0,31.7,2024,2024/04/14,Vegas Golden Knights
58,Arizona Coyotes,1,0,1,0,0,.000,0,0,0,5,6,5.00,6.00,33.3,66.7,33.3,66.7,35.0,31.0,39.4,2024,2024/04/14,Calgary Flames
59,Vegas Golden Knights,1,1,0,0,2,1.000,0,1,0,4,3,4.00,3.00,66.7,100.0,66.7,100.0,30.0,24.0,68.3,2024,2024/04/14,Colorado Avalanche
60,Seattle Kraken,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,0.0,100.0,0.0,100.0,20.0,28.0,42.0,2024,2024/04/14,St. Louis Blues
61,New Jersey Devils,1,0,1,0,0,.000,0,0,0,0,1,0.00,1.00,0.0,100.0,-100.0,100.0,20.0,21.0,52.4,2024,2024/04/13,Philadelphia Flyers
62,New York Islanders,1,0,0,1,1,.500,0,0,0,2,2,2.00,2.00,0.0,100.0,-20.0,100.0,36.0,43.0,44.8,2024,2024/04/13,New York Rangers
63,New York Rangers,1,1,0,0,2,1.000,0,0,1,2,2,2.00,2.00,0.0,100.0,0.0,120.0,43.0,36.0,55.2,2024,2024/04/13,New York Islanders
64,Philadelphia Flyers,1,1,0,0,2,1.000,1,1,0,1,0,1.00,0.00,0.0,100.0,0.0,200.0,21.0,20.0,47.6,2024,2024/04/13,New Jersey Devils
65,Pittsburgh Penguins,1,0,1,0,0,.000,0,0,0,4,6,4.00,6.00,50.0,100.0,0.0,133.3,32.0,31.0,46.9,2024,2024/04/13,Boston Bruins
66,Boston Bruins,1,1,0,0,2,1.000,1,1,0,6,4,6.00,4.00,0.0,50.0,-33.3,100.0,31.0,32.0,53.1,2024,2024/04/13,Pittsburgh Penguins
67,Buffalo Sabres,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,50.0,100.0,0.0,100.0,29.0,42.0,36.2,2024,2024/04/13,Florida Panthers
68,Montréal Canadiens,1,0,0,1,1,.500,0,0,0,4,4,4.00,4.00,33.3,50.0,33.3,66.7,25.0,44.0,50.0,2024,2024/04/13,Ottawa Senators
69,Ottawa Senators,1,1,0,0,2,1.000,0,0,1,4,4,4.00,4.00,50.0,66.7,33.3,66.7,44.0,25.0,50.0,2024,2024/04/13,Montreal Canadiens
70,Toronto Maple Leafs,1,0,0,1,1,.500,0,0,0,4,5,4.00,5.00,50.0,33.3,50.0,33.3,36.0,32.0,41.2,2024,2024/04/13,Detroit Red Wings
71,Florida Panthers,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,0.0,50.0,0.0,100.0,42.0,29.0,63.8,2024,2024/04/13,Buffalo Sabres
72,Tampa Bay Lightning,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,0.0,66.7,0.0,66.7,34.0,34.0,50.0,2024,2024/04/13,Washington Capitals
73,Washington Capitals,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,33.3,100.0,33.3,100.0,34.0,34.0,50.0,2024,2024/04/13,Tampa Bay Lightning
74,Detroit Red Wings,1,1,0,0,2,1.000,0,1,0,5,4,5.00,4.00,66.7,50.0,66.7,50.0,32.0,36.0,58.8,2024,2024/04/13,Toronto Maple Leafs
75,Nashville Predators,1,1,0,0,2,1.000,1,1,0,6,4,6.00,4.00,66.7,100.0,66.7,100.0,37.0,37.0,48.6,2024,2024/04/13,Columbus Blue Jackets
76,Colorado Avalanche,1,0,1,0,0,.000,0,0,0,0,7,0.00,7.00,0.0,33.3,0.0,33.3,30.0,26.0,71.2,2024,2024/04/13,Winnipeg Jets
77,Edmonton Oilers,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,100.0,0.0,100.0,33.0,27.0,46.4,2024,2024/04/13,Vancouver Canucks
78,Vancouver Canucks,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,100.0,0.0,100.0,27.0,33.0,53.6,2024,2024/04/13,Edmonton Oilers
79,Anaheim Ducks,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,75.0,0.0,75.0,29.0,28.0,31.7,2024,2024/04/13,Los Angeles Kings
80,Dallas Stars,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,33.3,100.0,33.3,100.0,30.0,27.0,55.6,2024,2024/04/13,Seattle Kraken
81,Los Angeles Kings,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,25.0,100.0,25.0,100.0,28.0,29.0,68.3,2024,2024/04/13,Anaheim Ducks
82,San Jose Sharks,1,0,1,0,0,.000,0,0,0,2,6,2.00,6.00,0.0,50.0,0.0,50.0,29.0,38.0,52.3,2024,2024/04/13,Minnesota Wild
83,Columbus Blue Jackets,1,0,1,0,0,.000,0,0,0,4,6,4.00,6.00,0.0,33.3,0.0,33.3,37.0,37.0,51.4,2024,2024/04/13,Nashville Predators
84,Minnesota Wild,1,1,0,0,2,1.000,1,1,0,6,2,6.00,2.00,50.0,100.0,50.0,100.0,38.0,29.0,47.7,2024,2024/04/13,San Jose Sharks
85,Winnipeg Jets,1,1,0,0,2,1.000,1,1,0,7,0,7.00,0.00,66.7,100.0,66.7,100.0,26.0,30.0,28.9,2024,2024/04/13,Colorado Avalanche
86,Seattle Kraken,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,66.7,0.0,66.7,27.0,30.0,44.4,2024,2024/04/13,Dallas Stars
87,Carolina Hurricanes,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,0.0,66.7,0.0,66.7,42.0,31.0,49.1,2024,2024/04/12,St. Louis Blues
88,Chicago Blackhawks,1,0,1,0,0,.000,0,0,0,1,5,1.00,5.00,25.0,0.0,25.0,0.0,26.0,40.0,40.0,2024,2024/04/12,Nashville Predators
89,Nashville Predators,1,1,0,0,2,1.000,1,1,0,5,1,5.00,1.00,100.0,75.0,100.0,75.0,40.0,26.0,60.0,2024,2024/04/12,Chicago Blackhawks
90,St. Louis Blues,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,33.3,100.0,33.3,100.0,31.0,42.0,50.9,2024,2024/04/12,Carolina Hurricanes
91,Calgary Flames,1,1,0,0,2,1.000,1,1,0,6,3,6.00,3.00,40.0,100.0,40.0,150.0,27.0,22.0,50.9,2024,2024/04/12,Anaheim Ducks
92,Edmonton Oilers,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,0.0,100.0,0.0,100.0,41.0,28.0,65.5,2024,2024/04/12,Arizona Coyotes
93,Anaheim Ducks,1,0,1,0,0,.000,0,0,0,3,6,3.00,6.00,0.0,60.0,-50.0,60.0,22.0,27.0,49.1,2024,2024/04/12,Calgary Flames
94,Minnesota Wild,1,0,1,0,0,.000,0,0,0,2,7,2.00,7.00,33.3,50.0,0.0,50.0,27.0,30.0,47.7,2024,2024/04/12,Vegas Golden Knights
95,Arizona Coyotes,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,0.0,100.0,0.0,100.0,28.0,41.0,34.6,2024,2024/04/12,Edmonton Oilers
96,Vegas Golden Knights,1,1,0,0,2,1.000,1,1,0,7,2,7.00,2.00,50.0,66.7,50.0,100.0,30.0,27.0,52.3,2024,2024/04/12,Minnesota Wild
97,New Jersey Devils,1,1,0,0,2,1.000,1,1,0,6,5,6.00,5.00,75.0,100.0,75.0,100.0,20.0,32.0,48.3,2024,2024/04/11,Toronto Maple Leafs
98,New York Islanders,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,0.0,--,0.0,--,31.0,14.0,54.2,2024,2024/04/11,Montreal Canadiens
99,New York Rangers,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,25.0,100.0,25.0,100.0,25.0,26.0,58.0,2024,2024/04/11,Philadelphia Flyers
100,Philadelphia Flyers,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,0.0,75.0,0.0,75.0,26.0,25.0,42.0,2024,2024/04/11,New York Rangers
101,Pittsburgh Penguins,1,1,0,0,2,1.000,0,1,0,6,5,6.00,5.00,0.0,100.0,0.0,133.3,27.0,30.0,44.9,2024,2024/04/11,Detroit Red Wings
102,Buffalo Sabres,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,0.0,--,0.0,--,17.0,24.0,29.6,2024,2024/04/11,Washington Capitals
103,Montréal Canadiens,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,--,100.0,--,100.0,14.0,31.0,45.8,2024,2024/04/11,New York Islanders
104,Ottawa Senators,1,1,0,0,2,1.000,0,0,1,2,2,2.00,2.00,0.0,100.0,0.0,100.0,27.0,26.0,40.3,2024,2024/04/11,Tampa Bay Lightning
105,Toronto Maple Leafs,1,0,1,0,0,.000,0,0,0,5,6,5.00,6.00,0.0,25.0,0.0,25.0,32.0,20.0,51.7,2024,2024/04/11,New Jersey Devils
106,Florida Panthers,1,1,0,0,2,1.000,1,1,0,4,0,4.00,0.00,0.0,100.0,0.0,100.0,46.0,25.0,43.5,2024,2024/04/11,Columbus Blue Jackets
107,Tampa Bay Lightning,1,0,0,1,1,.500,0,0,0,2,2,2.00,2.00,0.0,100.0,0.0,100.0,26.0,27.0,59.7,2024,2024/04/11,Ottawa Senators
108,Washington Capitals,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,--,100.0,--,100.0,24.0,17.0,70.5,2024,2024/04/11,Buffalo Sabres
109,Detroit Red Wings,1,0,0,1,1,.500,0,0,0,5,6,5.00,6.00,0.0,100.0,-33.3,100.0,30.0,27.0,55.1,2024,2024/04/11,Pittsburgh Penguins
110,Calgary Flames,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,0.0,75.0,0.0,75.0,23.0,30.0,49.0,2024,2024/04/11,Los Angeles Kings
111,Dallas Stars,1,0,1,0,0,.000,0,0,0,0,3,0.00,3.00,0.0,100.0,0.0,100.0,24.0,24.0,61.2,2024,2024/04/11,Winnipeg Jets
112,Los Angeles Kings,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,25.0,100.0,25.0,100.0,30.0,23.0,51.0,2024,2024/04/11,Calgary Flames
113,San Jose Sharks,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,100.0,0.0,100.0,23.0,50.0,54.1,2024,2024/04/11,Seattle Kraken
114,Columbus Blue Jackets,1,0,1,0,0,.000,0,0,0,0,4,0.00,4.00,0.0,100.0,0.0,100.0,25.0,46.0,56.5,2024,2024/04/11,Florida Panthers
115,Winnipeg Jets,1,1,0,0,2,1.000,1,1,0,3,0,3.00,0.00,0.0,100.0,0.0,100.0,24.0,24.0,38.8,2024,2024/04/11,Dallas Stars
116,Seattle Kraken,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,100.0,0.0,100.0,50.0,23.0,45.9,2024,2024/04/11,San Jose Sharks
117,Chicago Blackhawks,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,0.0,100.0,0.0,100.0,20.0,26.0,46.7,2024,2024/04/10,St. Louis Blues
118,St. Louis Blues,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,0.0,100.0,0.0,100.0,26.0,20.0,53.3,2024,2024/04/10,Chicago Blackhawks
119,Edmonton Oilers,1,1,0,0,2,1.000,1,1,0,5,1,5.00,1.00,33.3,--,0.0,--,25.0,18.0,50.9,2024,2024/04/10,Vegas Golden Knights
120,Vancouver Canucks,1,0,0,1,1,.500,0,0,0,3,4,3.00,4.00,25.0,100.0,25.0,100.0,26.0,18.0,65.5,2024,2024/04/10,Arizona Coyotes
121,Arizona Coyotes,1,1,0,0,2,1.000,0,1,0,4,3,4.00,3.00,0.0,75.0,0.0,75.0,18.0,26.0,34.5,2024,2024/04/10,Vancouver Canucks
122,Vegas Golden Knights,1,0,1,0,0,.000,0,0,0,1,5,1.00,5.00,--,66.7,--,100.0,18.0,25.0,49.1,2024,2024/04/10,Edmonton Oilers
123,New Jersey Devils,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,50.0,100.0,50.0,100.0,20.0,39.0,54.0,2024,2024/04/09,Toronto Maple Leafs
124,New York Islanders,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,0.0,33.3,0.0,33.3,28.0,33.0,50.0,2024,2024/04/09,New York Rangers
125,New York Rangers,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,66.7,100.0,66.7,100.0,33.0,28.0,50.0,2024,2024/04/09,New York Islanders
126,Philadelphia Flyers,1,0,1,0,0,.000,0,0,0,3,9,3.00,9.00,0.0,--,0.0,--,36.0,30.0,54.0,2024,2024/04/09,Montreal Canadiens
127,Boston Bruins,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,0.0,100.0,-33.3,100.0,23.0,26.0,50.0,2024,2024/04/09,Carolina Hurricanes
128,Buffalo Sabres,1,0,1,0,0,.000,0,0,0,2,3,2.00,3.00,0.0,100.0,0.0,100.0,21.0,24.0,45.2,2024,2024/04/09,Dallas Stars
129,Montréal Canadiens,1,1,0,0,2,1.000,1,1,0,9,3,9.00,3.00,--,100.0,--,100.0,30.0,36.0,46.0,2024,2024/04/09,Philadelphia Flyers
130,Ottawa Senators,1,0,1,0,0,.000,0,0,0,0,2,0.00,2.00,0.0,80.0,0.0,80.0,26.0,30.0,52.2,2024,2024/04/09,Florida Panthers
131,Toronto Maple Leafs,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,0.0,50.0,0.0,50.0,39.0,20.0,46.0,2024,2024/04/09,New Jersey Devils
132,Carolina Hurricanes,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,0.0,100.0,0.0,133.3,26.0,23.0,50.0,2024,2024/04/09,Boston Bruins
133,Florida Panthers,1,1,0,0,2,1.000,1,1,0,2,0,2.00,0.00,20.0,100.0,20.0,100.0,30.0,26.0,47.8,2024,2024/04/09,Ottawa Senators
134,Tampa Bay Lightning,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,50.0,50.0,50.0,50.0,33.0,32.0,55.0,2024,2024/04/09,Columbus Blue Jackets
135,Washington Capitals,1,1,0,0,2,1.000,1,1,0,2,1,2.00,1.00,0.0,100.0,0.0,100.0,23.0,43.0,48.0,2024,2024/04/09,Detroit Red Wings
136,Detroit Red Wings,1,0,1,0,0,.000,0,0,0,1,2,1.00,2.00,0.0,100.0,0.0,100.0,43.0,23.0,52.0,2024,2024/04/09,Washington Capitals
137,Nashville Predators,1,0,0,1,1,.500,0,0,0,3,4,3.00,4.00,0.0,66.7,0.0,66.7,48.0,22.0,52.6,2024,2024/04/09,Winnipeg Jets
138,Calgary Flames,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,66.7,100.0,66.7,100.0,41.0,22.0,48.2,2024,2024/04/09,San Jose Sharks
139,Colorado Avalanche,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,25.0,60.0,25.0,60.0,32.0,22.0,47.3,2024,2024/04/09,Minnesota Wild
140,Anaheim Ducks,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,100.0,0.0,100.0,27.0,37.0,26.5,2024,2024/04/09,Los Angeles Kings
141,Dallas Stars,1,1,0,0,2,1.000,1,1,0,3,2,3.00,2.00,0.0,100.0,0.0,100.0,24.0,21.0,54.8,2024,2024/04/09,Buffalo Sabres
142,Los Angeles Kings,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,100.0,0.0,100.0,37.0,27.0,73.5,2024,2024/04/09,Anaheim Ducks
143,San Jose Sharks,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,0.0,33.3,0.0,33.3,22.0,41.0,51.8,2024,2024/04/09,Calgary Flames
144,Columbus Blue Jackets,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,50.0,50.0,50.0,50.0,32.0,33.0,45.0,2024,2024/04/09,Tampa Bay Lightning
145,Minnesota Wild,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,40.0,75.0,40.0,75.0,22.0,32.0,52.7,2024,2024/04/09,Colorado Avalanche
146,Winnipeg Jets,1,1,0,0,2,1.000,0,1,0,4,3,4.00,3.00,33.3,100.0,33.3,100.0,22.0,48.0,47.4,2024,2024/04/09,Nashville Predators
147,Arizona Coyotes,1,0,1,0,0,.000,0,0,0,0,5,0.00,5.00,0.0,66.7,0.0,66.7,39.0,25.0,42.6,2024,2024/04/09,Seattle Kraken
148,Seattle Kraken,1,1,0,0,2,1.000,1,1,0,5,0,5.00,0.00,33.3,100.0,33.3,100.0,25.0,39.0,57.4,2024,2024/04/09,Arizona Coyotes
149,Pittsburgh Penguins,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,0.0,50.0,0.0,50.0,33.0,23.0,49.1,2024,2024/04/08,Toronto Maple Leafs
150,Toronto Maple Leafs,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,50.0,100.0,50.0,100.0,23.0,33.0,50.9,2024,2024/04/08,Pittsburgh Penguins
151,Vancouver Canucks,1,1,0,0,2,1.000,1,1,0,4,3,4.00,3.00,66.7,50.0,66.7,50.0,30.0,23.0,48.1,2024,2024/04/08,Vegas Golden Knights
152,Vegas Golden Knights,1,0,1,0,0,.000,0,0,0,3,4,3.00,4.00,50.0,33.3,50.0,33.3,23.0,30.0,51.9,2024,2024/04/08,Vancouver Canucks
